DenseNet121,,,,,Inception,,,,,MobileNetV2,,,,,ResNet50,,,,,ResNet152,,,,  ,VGG16,,,,,Exception
              precision    recall  f1-score   support,,,,,              precision    recall  f1-score   support,,,,,              precision    recall  f1-score   support,,,,,              precision    recall  f1-score   support,,,,,              precision    recall  f1-score   support,,,,,              precision    recall  f1-score   support,,,,,              precision    recall  f1-score   support
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         KSC       0.00      0.00      0.00         2,,,,,         MMZ       0.00      0.00      0.00         4,,,,,         EOS       0.00      0.00      0.00         3,,,,,         PEB       0.00      0.00      0.00         1,,,,,         KSC       0.00      0.00      0.00         2,,,,,         NGB       0.00      0.00      0.00         3,,,,,         MYB       0.00      0.00      0.00         1
         OTH       0.74      0.77      0.75      2933,,,,,         NGS       0.80      0.80      0.80      2934,,,,,         MMZ       0.86      0.79      0.82      2812,,,,,         MYB       0.73      0.91      0.81      2949,,,,,         BAS       0.49      0.95      0.65      2954,,,,,         OTH       0.60      0.73      0.66      2883,,,,,         NGB       0.82      0.89      0.86      2838
         NGS       0.00      0.00      0.00        70,,,,,         MYB       0.00      0.00      0.00        55,,,,,         PLM       0.67      0.18      0.28        57,,,,,         ABE       0.40      0.03      0.06        60,,,,,         LYT       0.07      0.04      0.05        68,,,,,         ART       0.00      0.00      0.00        68,,,,,         PLM       0.64      0.53      0.58        77
         PMO       0.61      0.67      0.64      1833,,,,,         LYT       0.63      0.73      0.68      1821,,,,,         PMO       0.79      0.60      0.68      1864,,,,,         LYT       0.73      0.73      0.73      1839,,,,,         PMO       0.58      0.57      0.57      1723,,,,,         PMO       0.45      0.60      0.51      1793,,,,,         BAS       0.78      0.77      0.77      1831
         ABE       0.84      0.89      0.86      4185,,,,,         EBO       0.90      0.91      0.91      4140,,,,,         MON       0.89      0.94      0.91      4210,,,,,         MON       0.96      0.91      0.93      4172,,,,,         PEB       0.93      0.91      0.92      4139,,,,,         BAS       0.76      0.89      0.82      4168,,,,,         PMO       0.94      0.94      0.94      4208
         NGB       0.89      0.81      0.85       871,,,,,         PMO       0.60      0.92      0.73       871,,,,,         ART       0.90      0.94      0.92       831,,,,,         OTH       0.94      0.91      0.92       882,,,,,         PLM       0.95      0.77      0.85       874,,,,,         FGC       0.44      0.05      0.09       895,,,,,         NGS       0.95      0.93      0.94       902
         LYI       0.00      0.00      0.00         5,,,,,         OTH       0.00      0.00      0.00         9,,,,,         EBO       0.00      0.00      0.00         1,,,,,         MMZ       0.00      0.00      0.00         5,,,,,         FGC       0.00      0.00      0.00         5,,,,,         KSC       0.00      0.00      0.00         5,,,,,         LYI       0.00      0.00      0.00         8
         PEB       0.00      0.00      0.00        63,,,,,         ART       0.00      0.00      0.00        61,,,,,         BAS       0.00      0.00      0.00        66,,,,,         BAS       0.00      0.00      0.00        62,,,,,         ABE       0.06      0.03      0.04        59,,,,,         MMZ       0.00      0.00      0.00        70,,,,,         LYT       0.64      0.43      0.52        67
         LYT       0.00      0.00      0.00         4,,,,,         LYI       0.00      0.00      0.00         9,,,,,         NGS       0.00      0.00      0.00         5,,,,,         FGC       0.00      0.00      0.00         3,,,,,         LYI       0.00      0.00      0.00         1,,,,,         MYB       0.00      0.00      0.00         4,,,,,         KSC       0.00      0.00      0.00        13
         MYB       0.00      0.00      0.00        20,,,,,         NGB       0.00      0.00      0.00        11,,,,,         MYB       0.00      0.00      0.00        10,,,,,         PMO       0.00      0.00      0.00        13,,,,,         NGS       0.00      0.00      0.00        26,,,,,         NGS       0.00      0.00      0.00        19,,,,,         EOS       0.89      0.88      0.89      3934
         EBO       0.77      0.86      0.81      3994,,,,,         BLA       0.78      0.90      0.84      3960,,,,,         NIF       0.79      0.92      0.85      3994,,,,,         NGB       0.83      0.90      0.86      3841,,,,,         MON       0.73      0.82      0.77      3993,,,,,         NIF       0.73      0.81      0.77      4025,,,,,         OTH       0.47      0.40      0.43       463
         FGC       0.56      0.01      0.02       487,,,,,         ABE       0.41      0.18      0.25       457,,,,,         NGB       0.43      0.43      0.43       428,,,,,         LYI       0.59      0.28      0.38       464,,,,,         NGB       0.55      0.12      0.20       437,,,,,         EBO       0.00      0.00      0.00       462,,,,,         EBO       0.79      0.56      0.66       568
         BAS       0.40      0.17      0.24       568,,,,,         PEB       0.56      0.58      0.57       579,,,,,         LYT       0.56      0.74      0.64       615,,,,,         PLM       0.69      0.59      0.64       601,,,,,         NIF       0.62      0.18      0.28       539,,,,,         MON       0.43      0.15      0.22       597,,,,,         MON       0.58      0.78      0.66       948
         EOS       0.40      0.32      0.36       948,,,,,         NIF       0.67      0.52      0.59       948,,,,,         BLA       0.66      0.54      0.60       918,,,,,         KSC       0.65      0.56      0.60      1001,,,,,         HAC       0.61      0.36      0.46       957,,,,,         PLM       0.30      0.30      0.30       955,,,,,         MMZ       0.69      0.72      0.71      1587
         NIF       0.55      0.46      0.50      1433,,,,,         HAC       0.62      0.62      0.62      1541,,,,,         FGC       0.73      0.55      0.63      1511,,,,,         EBO       0.73      0.55      0.62      1562,,,,,         BLA       0.81      0.33      0.47      1523,,,,,         EOS       0.52      0.27      0.35      1553,,,,,         ABE       0.89      0.89      0.89      4341
         MON       0.82      0.85      0.83      4354,,,,,         PLM       0.84      0.88      0.86      4390,,,,,         LYI       0.85      0.93      0.89      4415,,,,,         NGS       0.83      0.92      0.87      4258,,,,,         EOS       0.80      0.85      0.82      4334,,,,,         LYT       0.75      0.87      0.80      4203,,,,,         PEB       0.51      0.50      0.51       480
         PLM       0.50      0.10      0.17       507,,,,,         KSC       0.66      0.04      0.08       532,,,,,         HAC       0.69      0.09      0.16       494,,,,,         EOS       0.69      0.29      0.41       497,,,,,         OTH       0.35      0.32      0.33       513,,,,,         PEB       0.44      0.01      0.01       559,,,,,         HAC       0.65      0.22      0.33        49
         HAC       0.00      0.00      0.00        54,,,,,         EOS       0.00      0.00      0.00        41,,,,,         ABE       0.00      0.00      0.00        52,,,,,         BLA       0.83      0.09      0.16        55,,,,,         EBO       0.00      0.00      0.00        41,,,,,         ABE       0.00      0.00      0.00        50,,,,,         NIF       0.74      0.68      0.71       404
         MMZ       0.59      0.63      0.61       407,,,,,         BAS       0.77      0.46      0.58       396,,,,,         OTH       0.57      0.81      0.67       400,,,,,         HAC       0.78      0.60      0.68       411,,,,,         MMZ       0.82      0.46      0.59       421,,,,,         BLA       0.60      0.31      0.41       437,,,,,         FGC       0.87      0.89      0.88      1170
         BLA       0.67      0.73      0.70      1229,,,,,         FGC       0.90      0.70      0.79      1147,,,,,         KSC       0.90      0.74      0.82      1227,,,,,         NIF       0.82      0.85      0.83      1135,,,,,         MYB       0.90      0.72      0.80      1215,,,,,         LYI       0.60      0.41      0.49      1209,,,,,         ART       0.85      0.74      0.79      1839
         ART       0.60      0.79      0.68      1761,,,,,         MON       0.76      0.76      0.76      1822,,,,,         PEB       0.73      0.88      0.80      1815,,,,,         ART       0.77      0.81      0.79      1917,,,,,         ART       0.82      0.55      0.66      1904,,,,,         HAC       0.53      0.75      0.62      1770,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    accuracy                           0.84     25728
    accuracy                           0.73     25728,,,,,    accuracy                           0.77     25728,,,,,    accuracy                           0.80     25728,,,,,    accuracy                           0.81     25728,,,,,    accuracy                           0.72     25728,,,,,    accuracy                           0.64     25728,,,,,   macro avg       0.64      0.59      0.60     25728
   macro avg       0.43      0.38      0.38     25728,,,,,   macro avg       0.47      0.43      0.43     25728,,,,,   macro avg       0.53      0.48      0.48     25728,,,,,   macro avg       0.57      0.47      0.49     25728,,,,,   macro avg       0.48      0.38      0.40     25728,,,,,   macro avg       0.34      0.29      0.29     25728,,,,,weighted avg       0.84      0.84      0.83     25728
weighted avg       0.71      0.73      0.71     25728,,,,,weighted avg       0.77      0.77      0.76     25728,,,,,weighted avg       0.80      0.80      0.79     25728,,,,,,,,,,weighted avg       0.74      0.72      0.70     25728,,,,,weighted avg       0.61      0.64      0.61     25728,,,,,
