Classification Report:
              precision    recall  f1-score   support

         KSC       0.00      0.00      0.00         2
         OTH       0.74      0.77      0.75      2933
         NGS       0.00      0.00      0.00        70
         PMO       0.61      0.67      0.64      1833
         ABE       0.84      0.89      0.86      4185
         NGB       0.89      0.81      0.85       871
         LYI       0.00      0.00      0.00         5
         PEB       0.00      0.00      0.00        63
         LYT       0.00      0.00      0.00         4
         MYB       0.00      0.00      0.00        20
         EBO       0.77      0.86      0.81      3994
         FGC       0.56      0.01      0.02       487
         BAS       0.40      0.17      0.24       568
         EOS       0.40      0.32      0.36       948
         NIF       0.55      0.46      0.50      1433
         MON       0.82      0.85      0.83      4354
         PLM       0.50      0.10      0.17       507
         HAC       0.00      0.00      0.00        54
         MMZ       0.59      0.63      0.61       407
         BLA       0.67      0.73      0.70      1229
         ART       0.60      0.79      0.68      1761

    accuracy                           0.73     25728
   macro avg       0.43      0.38      0.38     25728
weighted avg       0.71      0.73      0.71     25728
