Classification Report:
              precision    recall  f1-score   support

         MMZ       0.00      0.00      0.00         4
         NGS       0.80      0.80      0.80      2934
         MYB       0.00      0.00      0.00        55
         LYT       0.63      0.73      0.68      1821
         EBO       0.90      0.91      0.91      4140
         PMO       0.60      0.92      0.73       871
         OTH       0.00      0.00      0.00         9
         ART       0.00      0.00      0.00        61
         LYI       0.00      0.00      0.00         9
         NGB       0.00      0.00      0.00        11
         BLA       0.78      0.90      0.84      3960
         ABE       0.41      0.18      0.25       457
         PEB       0.56      0.58      0.57       579
         NIF       0.67      0.52      0.59       948
         HAC       0.62      0.62      0.62      1541
         PLM       0.84      0.88      0.86      4390
         KSC       0.66      0.04      0.08       532
         EOS       0.00      0.00      0.00        41
         BAS       0.77      0.46      0.58       396
         FGC       0.90      0.70      0.79      1147
         MON       0.76      0.76      0.76      1822

    accuracy                           0.77     25728
   macro avg       0.47      0.43      0.43     25728
weighted avg       0.77      0.77      0.76     25728
