Classification Report:
              precision    recall  f1-score   support

         EOS       0.00      0.00      0.00         3
         MMZ       0.86      0.79      0.82      2812
         PLM       0.67      0.18      0.28        57
         PMO       0.79      0.60      0.68      1864
         MON       0.89      0.94      0.91      4210
         ART       0.90      0.94      0.92       831
         EBO       0.00      0.00      0.00         1
         BAS       0.00      0.00      0.00        66
         NGS       0.00      0.00      0.00         5
         MYB       0.00      0.00      0.00        10
         NIF       0.79      0.92      0.85      3994
         NGB       0.43      0.43      0.43       428
         LYT       0.56      0.74      0.64       615
         BLA       0.66      0.54      0.60       918
         FGC       0.73      0.55      0.63      1511
         LYI       0.85      0.93      0.89      4415
         HAC       0.69      0.09      0.16       494
         ABE       0.00      0.00      0.00        52
         OTH       0.57      0.81      0.67       400
         KSC       0.90      0.74      0.82      1227
         PEB       0.73      0.88      0.80      1815

    accuracy                           0.80     25728
   macro avg       0.53      0.48      0.48     25728
weighted avg       0.80      0.80      0.79     25728
