Classification Report:
              precision    recall  f1-score   support

         KSC       0.00      0.00      0.00         2
         BAS       0.49      0.95      0.65      2954
         LYT       0.07      0.04      0.05        68
         PMO       0.58      0.57      0.57      1723
         PEB       0.93      0.91      0.92      4139
         PLM       0.95      0.77      0.85       874
         FGC       0.00      0.00      0.00         5
         ABE       0.06      0.03      0.04        59
         LYI       0.00      0.00      0.00         1
         NGS       0.00      0.00      0.00        26
         MON       0.73      0.82      0.77      3993
         NGB       0.55      0.12      0.20       437
         NIF       0.62      0.18      0.28       539
         HAC       0.61      0.36      0.46       957
         BLA       0.81      0.33      0.47      1523
         EOS       0.80      0.85      0.82      4334
         OTH       0.35      0.32      0.33       513
         EBO       0.00      0.00      0.00        41
         MMZ       0.82      0.46      0.59       421
         MYB       0.90      0.72      0.80      1215
         ART       0.82      0.55      0.66      1904

    accuracy                           0.72     25728
   macro avg       0.48      0.38      0.40     25728
weighted avg       0.74      0.72      0.70     25728
