Classification Report:
              precision    recall  f1-score   support

         NGB       0.00      0.00      0.00         3
         OTH       0.60      0.73      0.66      2883
         ART       0.00      0.00      0.00        68
         PMO       0.45      0.60      0.51      1793
         BAS       0.76      0.89      0.82      4168
         FGC       0.44      0.05      0.09       895
         KSC       0.00      0.00      0.00         5
         MMZ       0.00      0.00      0.00        70
         MYB       0.00      0.00      0.00         4
         NGS       0.00      0.00      0.00        19
         NIF       0.73      0.81      0.77      4025
         EBO       0.00      0.00      0.00       462
         MON       0.43      0.15      0.22       597
         PLM       0.30      0.30      0.30       955
         EOS       0.52      0.27      0.35      1553
         LYT       0.75      0.87      0.80      4203
         PEB       0.44      0.01      0.01       559
         ABE       0.00      0.00      0.00        50
         BLA       0.60      0.31      0.41       437
         LYI       0.60      0.41      0.49      1209
         HAC       0.53      0.75      0.62      1770

    accuracy                           0.64     25728
   macro avg       0.34      0.29      0.29     25728
weighted avg       0.61      0.64      0.61     25728
