Classification Report:
              precision    recall  f1-score   support

         MYB       0.00      0.00      0.00         1
         NGB       0.82      0.89      0.86      2838
         PLM       0.64      0.53      0.58        77
         BAS       0.78      0.77      0.77      1831
         PMO       0.94      0.94      0.94      4208
         NGS       0.95      0.93      0.94       902
         LYI       0.00      0.00      0.00         8
         LYT       0.64      0.43      0.52        67
         KSC       0.00      0.00      0.00        13
         EOS       0.89      0.88      0.89      3934
         OTH       0.47      0.40      0.43       463
         EBO       0.79      0.56      0.66       568
         MON       0.58      0.78      0.66       948
         MMZ       0.69      0.72      0.71      1587
         ABE       0.89      0.89      0.89      4341
         PEB       0.51      0.50      0.51       480
         HAC       0.65      0.22      0.33        49
         NIF       0.74      0.68      0.71       404
         FGC       0.87      0.89      0.88      1170
         ART       0.85      0.74      0.79      1839

    accuracy                           0.84     25728
   macro avg       0.64      0.59      0.60     25728
weighted avg       0.84      0.84      0.83     25728
